Nostoc sp. bacteriophage N-1 (ATCC 27893-B15),$550.00,$467.50,NA,N-1,N-1 [ATCC 27347-B1],1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization and replication in Nostoc muscorum,https://www.atcc.org/~/ps/27893-B15.ashx
Nostoc sp. bacteriophage AN-26 (ATCC 27893-B1),$550.00,$467.50,NA,AN-26,AN-26,1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000-3,000 lux",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/27893-B1.ashx
Nostoc sp. bacteriophage A-4 (L) (ATCC 27892-B3),$550.00,$467.50,NA,A-4 (L),A-4 (L),1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius Atmosphere: Aerobic under light intensity of 2,000­3,000 lux",2Celsius  to 8Celsius,NA,NA,Characterization,https://www.atcc.org/~/ps/27892-B3.ashx
Nostoc sp. bacteriophage AN-22 (ATCC 27892-B1),$550.00,$467.50,NA,AN-22,AN-22,1,freeze-dried,ATCC  1142: Allen and Arnon medium plus nitrate,"Temperature: 26Celsius 
Atmosphere: Aerobic under light intensity of 2,000­3,000 lux",2Celsius  to 8Celsius,NA,NA,Characterization,https://www.atcc.org/~/ps/27892-B1.ashx
Bacillus cereus bacteriophage 282 (S) (ATCC 27877-B1),$550.00,$467.50,NA,282 (S),282 (S),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27877-B1.ashx
Bacillus cereus bacteriophage 256 (R) (ATCC 27877-B2),$550.00,$467.50,NA,256 (R),256 (R),1,freeze-dried,ATCC  779: G medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/27877-B2.ashx
Bacillus subtilis bacteriophage F (ATCC 27505-B1),$550.00,$467.50,NA,F,F [HER 346],1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27505-B1.ashx
Nostoc sp. bacteriophage N-1 (ATCC 27347-B1),$550.00,$467.50,NA,N-1,N-1 [ATCC 27893-B15],1,freeze-dried,NA,NA,NA,NA,NA,Characterization,https://www.atcc.org/~/ps/27347-B1.ashx
Mycobacterium smegmatis bacteriophage BK3 (ATCC 27203-B1),$550.00,$467.50,NA,BK3,BK3,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27203-B1.ashx
Mycobacterium smegmatis bacteriophage Bo1 (ATCC 27204-B1),$550.00,$467.50,NA,Bo 1,Bo 1,1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27204-B1.ashx
Escherichia coli bacteriophage If2 (ATCC 27065-B2),$550.00,$467.50,NA,If2,If2,1,frozen,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/27065-B2.ashx
