,match,0
32922468,0,ATCC 15834 
32922368,0,ATCC 27029 
32918096,0,ATCC 29212 
32916279,0,ATCC 27956 
32916245,0,ATCC 19585 
32916244,0,ATCC 14917 
32916244,1,ATCC 25175 
32915290,0,ATCC 27029 
32915125,0,ATCC 4720 
32915125,1,ATCC 19358 
32915125,2,ATCC 4720 
32915125,3,ATCC 23308 
32915125,4,ATCC 4720 
32915125,5,ATCC 23308 
32915125,6,ATCC 4720 
32914132,0,ATCC 25922 
32914132,1,ATCC 51299 
32910749,0,ATCC 51759 
32910749,1,ATCC 51759 
32903677,0,ATCC 74219 
32903677,1,ATCC 74219 
32902704,0,ATCC 15236 
32900811,0,ATCC 52813 
32900811,1,ATCC 11559 
32899371,0,ATCC 51541 
32899371,1,ATCC 51541 
32894728,0,ATCC 49733 
32890760,0,ATCC 43895 
32890760,1,ATCC 27853 
32889593,0,ATCC 12472 
32888099,0,ATCC 27853 
32888099,1,ATCC 25933 
32888099,2,ATCC 25922 
32888099,3,ATCC 10240 
32887718,0,ATCC 9842 
32887236,0,ATCC 25923 
32887236,1,ATCC 9027 
32883028,0,ATCC 6538 
32880694,0,ATCC 10231 
32880694,1,ATCC 2091 
32877854,0,ATCC 19433 
32877854,1,ATCC 25922 
32876764,0,ATCC 14067 
32872095,0,ATCC  
32871317,0,ATCC 11775 
32869646,0,ATCC 120515 
32867100,0,ATCC 12600 
32867100,1,ATCC 12228 
32867033,0,ATCC 14018 
32867033,1,ATCC 14018 
32867033,2,ATCC 14018 
32866191,0,ATCC 11550 
32865340,0,ATCC  
32864363,0,ATCC 49619 
32859056,0,ATCC 29213 
32857200,0,ATCC and 
32857090,0,ATCC 6538 
32856115,0,ATCC 29212 
32856115,1,ATCC growth 
32854295,0,ATCC  
32854178,0,ATCC 3440 
32854178,1,ATCC 4083 
32854178,2,ATCC 25922 
32853612,0,ATCC 6538P 
32851854,0,ATCC 25923 
32851854,1,ATCC 28188 
32851854,2,ATCC 28185 
32851482,0,ATCC 824 
32851482,1,ATCC 824 
32850769,0,ATCC 9595 
32850769,1,ATCC 9595 
32850769,2,ATCC 9595 
32849451,0,ATCC 9689 
32848161,0,ATCC 10245 
32848161,1,ATCC 10245 
32847138,0,ATCC 53103 
32841112,0,ATCC 70068 
32840575,0,ATCC 17978 
32839186,0,ATCC 14028 
32835914,0,ATCC 8014 
32835914,1,ATCC 25922 
32834112,0,ATCC 29213 
32834112,1,ATCC 8739 
32834007,0,ATCC 700819 
32832672,0,ATCC 17978 
32831805,0,ATCC 35654 
32831805,1,ATCC 15442 
32831503,0,ATCC 25923 
32830243,0,ATCC 49226 
32827940,0,ATCC 25923 
32827940,1,ATCC 51625 
32827921,0,ATCC 6538 
32827921,1,ATCC 10541 
32827921,2,ATCC 10536 
32827921,3,ATCC 15442 
32827602,0,ATCC 17001 
32825366,0,ATCC 12228 
32824623,0,ATCC 29212 
32823586,0,ATCC 14579 
32823484,0,ATCC 11778 
32823484,1,ATCC 12223 
32823484,2,ATCC 25923 
32823484,3,ATCC 8739 
32823484,4,ATCC 13883 
32823484,5,ATCC 27853 
32823484,6,ATCC 9292 
32823484,7,ATCC 14028 
32822679,0,ATCC reference 
32819727,0,ATCC  
32819727,1,ATCC 27853 
32819727,2,ATCC 13883 
32819727,3,ATCC 25922 
32819727,4,ATCC 10231 
32819727,5,ATCC 29213 
32819727,6,ATCC 27853 
32819727,7,ATCC 13883 
32819727,8,ATCC 25922 
32819727,9,ATCC 10231 
32819727,10,ATCC 29213 
32819727,11,ATCC 27853 
